LLM总参数量：25.830 百万
Epoch:[1/2](6900/9491) loss:1.801 lr:0.000040394955 epoch_Time:12.0min:
Epoch:[1/2](7000/9491) loss:1.787 lr:0.000040017252 epoch_Time:12.0min:
Epoch:[1/2](7100/9491) loss:1.705 lr:0.000039636805 epoch_Time:11.0min:
Epoch:[1/2](7200/9491) loss:1.747 lr:0.000039253719 epoch_Time:11.0min:
Epoch:[1/2](7300/9491) loss:1.775 lr:0.000038868098 epoch_Time:10.0min:
Epoch:[1/2](7400/9491) loss:1.832 lr:0.000038480048 epoch_Time:10.0min:
Epoch:[1/2](7500/9491) loss:1.760 lr:0.000038089675 epoch_Time:9.0min:
Epoch:[1/2](7600/9491) loss:1.723 lr:0.000037697087 epoch_Time:9.0min:
Epoch:[1/2](7700/9491) loss:1.739 lr:0.000037302390 epoch_Time:9.0min:
Epoch:[1/2](7800/9491) loss:1.750 lr:0.000036905693 epoch_Time:8.0min:
Epoch:[1/2](7900/9491) loss:1.776 lr:0.000036507104 epoch_Time:8.0min:
Epoch:[1/2](8000/9491) loss:1.824 lr:0.000036106733 epoch_Time:6.0min:
Epoch:[1/2](8100/9491) loss:1.735 lr:0.000035704690 epoch_Time:6.0min:
Epoch:[1/2](8200/9491) loss:1.797 lr:0.000035301083 epoch_Time:5.0min:
Epoch:[1/2](8300/9491) loss:1.870 lr:0.000034896025 epoch_Time:5.0min:
Epoch:[1/2](8400/9491) loss:1.763 lr:0.000034489626 epoch_Time:4.0min:
Epoch:[1/2](8500/9491) loss:1.802 lr:0.000034081997 epoch_Time:4.0min:
Epoch:[1/2](8600/9491) loss:1.751 lr:0.000033673250 epoch_Time:4.0min:
Epoch:[1/2](8700/9491) loss:1.755 lr:0.000033263497 epoch_Time:3.0min:
Epoch:[1/2](8800/9491) loss:1.755 lr:0.000032852850 epoch_Time:3.0min:
Epoch:[1/2](8900/9491) loss:1.690 lr:0.000032441421 epoch_Time:2.0min:
Epoch:[1/2](9000/9491) loss:1.807 lr:0.000032029324 epoch_Time:2.0min:
Epoch:[1/2](9100/9491) loss:1.736 lr:0.000031616671 epoch_Time:1.0min:
Epoch:[1/2](9200/9491) loss:1.694 lr:0.000031203575 epoch_Time:1.0min:
Epoch:[1/2](9300/9491) loss:1.763 lr:0.000030790149 epoch_Time:1.0min:
Epoch:[1/2](9400/9491) loss:1.755 lr:0.000030376507 epoch_Time:0.0min:
Epoch:[2/2](0/9491) loss:1.991 lr:0.000030000000 epoch_Time:2026.0min:
Epoch:[2/2](100/9491) loss:1.872 lr:0.000029586259 epoch_Time:61.0min:
Epoch:[2/2](200/9491) loss:1.814 lr:0.000029172632 epoch_Time:50.0min:
Epoch:[2/2](300/9491) loss:1.906 lr:0.000028759232 epoch_Time:47.0min:
Epoch:[2/2](400/9491) loss:1.716 lr:0.000028346171 epoch_Time:45.0min:
Epoch:[2/2](500/9491) loss:1.775 lr:0.000027933563 epoch_Time:43.0min:
Epoch:[2/2](600/9491) loss:1.728 lr:0.000027521521 epoch_Time:42.0min:
Epoch:[2/2](700/9491) loss:1.696 lr:0.000027110159 epoch_Time:41.0min:
Epoch:[2/2](800/9491) loss:1.709 lr:0.000026699587 epoch_Time:41.0min:
Epoch:[2/2](900/9491) loss:1.709 lr:0.000026289920 epoch_Time:39.0min:
Epoch:[2/2](1000/9491) loss:1.686 lr:0.000025881269 epoch_Time:39.0min:
Epoch:[2/2](1100/9491) loss:1.620 lr:0.000025473746 epoch_Time:38.0min:
Epoch:[2/2](1200/9491) loss:1.636 lr:0.000025067463 epoch_Time:38.0min:
Epoch:[2/2](1300/9491) loss:1.635 lr:0.000024662531 epoch_Time:38.0min:
Epoch:[2/2](1400/9491) loss:1.650 lr:0.000024259061 epoch_Time:37.0min:
Epoch:[2/2](1500/9491) loss:1.751 lr:0.000023857163 epoch_Time:36.0min:
Epoch:[2/2](1600/9491) loss:1.670 lr:0.000023456948 epoch_Time:35.0min:
Epoch:[2/2](1700/9491) loss:1.709 lr:0.000023058525 epoch_Time:35.0min:
Epoch:[2/2](1800/9491) loss:1.613 lr:0.000022662004 epoch_Time:34.0min:
Epoch:[2/2](1900/9491) loss:1.497 lr:0.000022267492 epoch_Time:34.0min:
Epoch:[2/2](2000/9491) loss:1.478 lr:0.000021875099 epoch_Time:34.0min:
Epoch:[2/2](2100/9491) loss:1.488 lr:0.000021484931 epoch_Time:33.0min:
Epoch:[2/2](2200/9491) loss:1.527 lr:0.000021097095 epoch_Time:33.0min:
Epoch:[2/2](2300/9491) loss:1.673 lr:0.000020711698 epoch_Time:32.0min:
Epoch:[2/2](2400/9491) loss:1.490 lr:0.000020328845 epoch_Time:32.0min:
Epoch:[2/2](2500/9491) loss:1.427 lr:0.000019948641 epoch_Time:31.0min:
Epoch:[2/2](2600/9491) loss:1.495 lr:0.000019571190 epoch_Time:31.0min:
Epoch:[2/2](2700/9491) loss:1.538 lr:0.000019196596 epoch_Time:30.0min:
Epoch:[2/2](2800/9491) loss:1.481 lr:0.000018824961 epoch_Time:30.0min:
Epoch:[2/2](2900/9491) loss:1.666 lr:0.000018456387 epoch_Time:30.0min:
Epoch:[2/2](3000/9491) loss:1.727 lr:0.000018090974 epoch_Time:29.0min:
Epoch:[2/2](3100/9491) loss:1.568 lr:0.000017728824 epoch_Time:29.0min:
Epoch:[2/2](3200/9491) loss:1.962 lr:0.000017370035 epoch_Time:28.0min:
Epoch:[2/2](3300/9491) loss:1.884 lr:0.000017014705 epoch_Time:28.0min:
Epoch:[2/2](3400/9491) loss:1.881 lr:0.000016662932 epoch_Time:27.0min:
Epoch:[2/2](3500/9491) loss:1.936 lr:0.000016314813 epoch_Time:27.0min:
Epoch:[2/2](3600/9491) loss:1.900 lr:0.000015970441 epoch_Time:27.0min:
Epoch:[2/2](3700/9491) loss:1.857 lr:0.000015629913 epoch_Time:26.0min:
Epoch:[2/2](3800/9491) loss:1.887 lr:0.000015293321 epoch_Time:26.0min:
Epoch:[2/2](3900/9491) loss:1.866 lr:0.000014960757 epoch_Time:25.0min:
Epoch:[2/2](4000/9491) loss:1.872 lr:0.000014632312 epoch_Time:25.0min:
Epoch:[2/2](4100/9491) loss:1.849 lr:0.000014308077 epoch_Time:24.0min:
Epoch:[2/2](4200/9491) loss:1.884 lr:0.000013988140 epoch_Time:24.0min:
Epoch:[2/2](4300/9491) loss:1.869 lr:0.000013672588 epoch_Time:23.0min:
Epoch:[2/2](4400/9491) loss:1.876 lr:0.000013361509 epoch_Time:23.0min:
Epoch:[2/2](4500/9491) loss:1.912 lr:0.000013054987 epoch_Time:22.0min:
Epoch:[2/2](4600/9491) loss:1.877 lr:0.000012753107 epoch_Time:22.0min:
Epoch:[2/2](4700/9491) loss:1.931 lr:0.000012455951 epoch_Time:21.0min:
Epoch:[2/2](4800/9491) loss:1.848 lr:0.000012163600 epoch_Time:21.0min:
Epoch:[2/2](4900/9491) loss:1.858 lr:0.000011876135 epoch_Time:21.0min:
Epoch:[2/2](5000/9491) loss:1.903 lr:0.000011593634 epoch_Time:20.0min:
Epoch:[2/2](5100/9491) loss:1.814 lr:0.000011316174 epoch_Time:20.0min:
Epoch:[2/2](5200/9491) loss:1.883 lr:0.000011043833 epoch_Time:19.0min:
Epoch:[2/2](5300/9491) loss:1.581 lr:0.000010776683 epoch_Time:19.0min:
Epoch:[2/2](5400/9491) loss:1.749 lr:0.000010514800 epoch_Time:18.0min:
Epoch:[2/2](5500/9491) loss:1.762 lr:0.000010258253 epoch_Time:18.0min:
Epoch:[2/2](5600/9491) loss:1.781 lr:0.000010007113 epoch_Time:17.0min:
Epoch:[2/2](5700/9491) loss:1.812 lr:0.000009761450 epoch_Time:17.0min:
Epoch:[2/2](5800/9491) loss:1.780 lr:0.000009521331 epoch_Time:16.0min:
Epoch:[2/2](5900/9491) loss:1.776 lr:0.000009286820 epoch_Time:16.0min:
Epoch:[2/2](6000/9491) loss:1.762 lr:0.000009057984 epoch_Time:16.0min:
Epoch:[2/2](6100/9491) loss:1.679 lr:0.000008834883 epoch_Time:15.0min:
Epoch:[2/2](6200/9491) loss:1.765 lr:0.000008617580 epoch_Time:15.0min:
Epoch:[2/2](6300/9491) loss:1.743 lr:0.000008406133 epoch_Time:14.0min:
Epoch:[2/2](6400/9491) loss:1.671 lr:0.000008200602 epoch_Time:14.0min:
Epoch:[2/2](6500/9491) loss:1.778 lr:0.000008001041 epoch_Time:13.0min:
Epoch:[2/2](6600/9491) loss:1.738 lr:0.000007807506 epoch_Time:13.0min:
Epoch:[2/2](6700/9491) loss:1.770 lr:0.000007620050 epoch_Time:12.0min:
Epoch:[2/2](6800/9491) loss:1.710 lr:0.000007438724 epoch_Time:12.0min:
Epoch:[2/2](6900/9491) loss:1.763 lr:0.000007263577 epoch_Time:11.0min:
Epoch:[2/2](7000/9491) loss:1.750 lr:0.000007094659 epoch_Time:11.0min:
Epoch:[2/2](7100/9491) loss:1.669 lr:0.000006932014 epoch_Time:10.0min:
Epoch:[2/2](7200/9491) loss:1.711 lr:0.000006775688 epoch_Time:10.0min:
Epoch:[2/2](7300/9491) loss:1.738 lr:0.000006625723 epoch_Time:10.0min:
Epoch:[2/2](7400/9491) loss:1.793 lr:0.000006482160 epoch_Time:9.0min:
Epoch:[2/2](7500/9491) loss:1.725 lr:0.000006345040 epoch_Time:9.0min:
Epoch:[2/2](7600/9491) loss:1.686 lr:0.000006214398 epoch_Time:8.0min:
Epoch:[2/2](7700/9491) loss:1.707 lr:0.000006090272 epoch_Time:8.0min:
Epoch:[2/2](7800/9491) loss:1.721 lr:0.000005972695 epoch_Time:7.0min:
Epoch:[2/2](7900/9491) loss:1.745 lr:0.000005861699 epoch_Time:7.0min:
Epoch:[2/2](8000/9491) loss:1.792 lr:0.000005757314 epoch_Time:6.0min:
Epoch:[2/2](8100/9491) loss:1.707 lr:0.000005659570 epoch_Time:6.0min:
Epoch:[2/2](8200/9491) loss:1.765 lr:0.000005568493 epoch_Time:5.0min:
Epoch:[2/2](8300/9491) loss:1.840 lr:0.000005484108 epoch_Time:5.0min:
Epoch:[2/2](8400/9491) loss:1.737 lr:0.000005406439 epoch_Time:4.0min:
Epoch:[2/2](8500/9491) loss:1.773 lr:0.000005335505 epoch_Time:4.0min:
Epoch:[2/2](8600/9491) loss:1.726 lr:0.000005271328 epoch_Time:4.0min:
Epoch:[2/2](8700/9491) loss:1.731 lr:0.000005213923 epoch_Time:3.0min:
Epoch:[2/2](8800/9491) loss:1.728 lr:0.000005163308 epoch_Time:3.0min:
Epoch:[2/2](8900/9491) loss:1.667 lr:0.000005119496 epoch_Time:2.0min:
Epoch:[2/2](9000/9491) loss:1.785 lr:0.000005082499 epoch_Time:2.0min:
Epoch:[2/2](9100/9491) loss:1.711 lr:0.000005052327 epoch_Time:1.0min:
Epoch:[2/2](9200/9491) loss:1.672 lr:0.000005028989 epoch_Time:1.0min:
Epoch:[2/2](9300/9491) loss:1.744 lr:0.000005012490 epoch_Time:0.0min:
Epoch:[2/2](9400/9491) loss:1.733 lr:0.000005002835 epoch_Time:0.0min:
